@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11,24,29-weka.filters.unsupervised.attribute.Remove-R12-19'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
9,6,174,1,1,11,3,17,6,25,13,East
10,6,173,1,1,11,3,17,6,25,13,East
11,6,172,1,1,11,3,17,6,25,13,East
11,7,171,1,1,11,3,17,6,25,13,North
11,8,170,1,1,11,3,17,6,25,13,North
11,9,169,1,1,11,3,17,6,25,13,North
11,10,168,1,1,11,3,17,6,25,13,North
11,11,167,1,1,11,3,17,6,25,13,North
11,12,166,1,1,11,3,17,6,25,13,North
12,12,165,1,1,11,3,17,6,25,13,East
13,12,164,1,1,11,3,17,6,25,13,East
14,12,163,1,1,11,3,17,6,25,13,East
14,11,162,1,1,11,3,17,6,25,13,South
14,10,161,1,1,11,3,17,6,25,13,South
14,9,160,1,1,11,3,17,6,25,13,South
14,8,159,1,1,11,3,17,6,25,13,South
14,7,158,1,1,11,3,17,6,25,13,South
14,6,157,1,1,11,3,17,6,25,13,South
15,6,156,1,1,11,3,17,6,25,13,East
16,6,155,1,1,11,3,17,6,25,13,East
17,6,354,1,1,11,3,5,1,25,13,East
16,6,353,1,1,11,3,5,1,25,13,West
15,6,352,1,1,11,3,5,1,25,13,West
14,6,351,1,1,11,3,5,1,25,13,West
14,7,350,1,1,11,3,5,1,25,13,North
14,8,349,1,1,11,3,5,1,25,13,North
14,9,348,1,1,11,3,5,1,25,13,North
14,10,347,1,1,11,3,5,1,25,13,North
15,10,346,1,1,11,3,5,1,25,13,East
16,10,345,1,1,11,3,5,1,25,13,East
17,10,344,1,1,11,3,5,1,25,13,East
18,10,343,1,1,11,3,5,1,25,13,East
19,10,342,1,1,11,3,5,1,25,13,East
20,10,341,1,1,11,3,5,1,25,13,East
20,11,340,1,1,11,3,5,1,25,13,North
20,12,339,1,1,11,3,5,1,25,13,North
20,13,338,1,1,11,3,5,1,25,13,North
20,14,337,1,1,11,3,5,1,25,13,North
20,15,336,1,1,11,3,5,1,25,13,North
21,15,335,1,1,11,3,5,1,25,13,East
22,15,334,1,1,11,3,5,1,25,13,East
23,15,333,1,1,11,3,5,1,25,13,East
24,15,332,1,1,11,3,5,1,25,13,East
25,15,331,1,1,11,3,5,1,25,13,East
25,14,330,1,1,11,3,5,1,25,13,South
25,13,529,1,1,11,3,5,1,7,1,South
25,14,528,1,1,11,3,5,1,7,1,North
24,14,527,1,1,11,3,5,1,7,1,West
23,14,526,1,1,11,3,5,1,7,1,West
22,14,525,1,1,11,3,5,1,7,1,West
22,15,524,1,1,11,3,5,1,7,1,North
21,15,523,1,1,11,3,5,1,7,1,West
20,15,522,1,1,11,3,5,1,7,1,West
20,14,521,1,1,11,3,5,1,7,1,South
19,14,520,1,1,11,3,5,1,7,1,West
18,14,519,1,1,11,3,5,1,7,1,West
17,14,518,1,1,11,3,5,1,7,1,West
16,14,517,1,1,11,3,5,1,7,1,West
15,14,516,1,1,11,3,5,1,7,1,West
14,14,515,1,1,11,3,5,1,7,1,West
14,13,514,1,1,11,3,5,1,7,1,South
14,12,513,1,1,11,3,5,1,7,1,South
13,12,512,1,1,11,3,5,1,7,1,West
12,12,511,1,1,11,3,5,1,7,1,West
11,12,510,1,1,11,3,5,1,7,1,West
11,11,509,1,1,11,3,5,1,7,1,South
