@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Remove-R12-15

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
17,6,537,1,1,3,1,5,1,25,13,East
18,6,536,1,1,3,1,5,1,25,13,East
19,6,535,1,1,3,1,5,1,25,13,East
20,6,534,1,1,3,1,5,1,25,13,East
21,6,533,1,1,3,1,5,1,25,13,East
22,6,532,1,1,3,1,5,1,25,13,East
23,6,531,1,1,3,1,5,1,25,13,East
23,7,530,1,1,3,1,5,1,25,13,North
23,8,529,1,1,3,1,5,1,25,13,North
23,9,528,1,1,3,1,5,1,25,13,North
23,10,527,1,1,3,1,5,1,25,13,North
22,10,526,1,1,3,1,5,1,25,13,West
21,10,525,1,1,3,1,5,1,25,13,West
20,10,524,1,1,3,1,5,1,25,13,West
20,11,523,1,1,3,1,5,1,25,13,North
20,12,522,1,1,3,1,5,1,25,13,North
20,13,521,1,1,3,1,5,1,25,13,North
20,14,520,1,1,3,1,5,1,25,13,North
20,15,519,1,1,3,1,5,1,25,13,North
21,15,518,1,1,3,1,5,1,25,13,East
22,15,517,1,1,3,1,5,1,25,13,East
23,15,516,1,1,3,1,5,1,25,13,East
24,15,515,1,1,3,1,5,1,25,13,East
24,14,514,1,1,3,1,5,1,25,13,South
24,14,513,1,1,3,1,5,1,25,13,South
9,1,0,1,5,8,5,11,5,18,5,Stop
9,1,-1,1,5,8,5,11,5,18,5,Stop
9,1,-2,1,5,8,5,11,5,18,5,Stop
9,1,-3,1,5,8,5,11,5,18,5,Stop
10,1,96,1,5,8,5,11,5,18,5,East
11,1,195,1,5,8,5,11,5,18,5,East
12,1,294,1,5,8,5,11,5,18,5,East
13,1,393,1,5,8,5,11,5,18,5,East
14,1,492,1,5,8,5,11,5,18,5,East
15,1,591,1,5,8,5,11,5,18,5,East
16,1,690,1,5,8,5,11,5,18,5,East
17,1,789,1,5,8,5,11,5,18,5,East
18,1,888,1,5,8,5,11,5,18,5,East
18,2,987,1,5,8,5,11,5,18,5,North
18,3,1086,1,5,8,5,11,5,18,5,North
18,4,1185,1,5,8,5,11,5,18,5,North
18,5,1384,1,5,8,5,11,5,7,1,North
17,5,1483,1,5,8,5,11,5,7,1,West
16,5,1582,1,5,8,5,11,5,7,1,West
15,5,1681,1,5,8,5,11,5,7,1,West
14,5,1780,1,5,8,5,11,5,7,1,West
13,5,1879,1,5,8,5,11,5,7,1,West
13,4,1978,1,5,8,5,11,5,7,1,South
13,3,2077,1,5,8,5,11,5,7,1,South
12,3,2176,1,5,8,5,11,5,7,1,West
11,3,2275,1,5,8,5,11,5,7,1,West
10,3,2374,1,5,8,5,11,5,7,1,West
10,4,2373,1,5,8,5,11,5,7,1,North
10,5,2372,1,5,8,5,11,5,7,1,North
11,5,2571,1,5,8,5,5,1,7,1,East
10,5,2570,1,5,8,5,5,1,7,1,West
9,5,2569,1,5,8,5,5,1,7,1,West
8,5,2768,1,5,3,1,5,1,7,1,West
9,5,2767,1,5,3,1,5,1,7,1,East
9,4,2766,1,5,3,1,5,1,7,1,South
9,3,2865,1,5,3,1,5,1,7,1,South
8,3,2964,1,5,3,1,5,1,7,1,West
7,3,3063,1,5,3,1,5,1,7,1,West
6,3,3162,1,5,3,1,5,1,7,1,West
6,2,3261,1,5,3,1,5,1,7,1,South
6,1,3360,1,5,3,1,5,1,7,1,South
5,1,3859,1,5,3,1,5,1,7,1,West
4,1,3958,1,5,3,1,5,1,7,1,West
3,1,4457,1,5,3,1,5,1,7,1,West
4,1,4456,1,5,3,1,5,1,7,1,East
5,1,4855,1,5,3,1,5,1,7,1,East
6,1,4854,1,5,3,1,5,1,7,1,East
7,1,5353,1,5,3,1,5,1,7,1,East
8,1,5452,1,5,3,1,5,1,7,1,East
7,1,5851,1,5,3,1,5,1,7,1,West
6,1,5850,1,5,3,1,5,1,7,1,West
5,1,6249,1,5,3,1,5,1,7,1,West
4,1,6248,1,5,3,1,5,1,7,1,West
3,1,6647,1,5,3,1,5,1,7,1,West
2,1,6746,1,5,3,1,5,1,7,1,West
1,1,6845,1,5,3,1,5,1,7,1,West
1,2,6944,1,5,3,1,5,1,7,1,North
1,3,7043,1,5,3,1,5,1,7,1,North
1,11,0,6,5,6,9,8,11,14,6,Stop
1,11,-1,6,5,6,9,8,11,14,6,Stop
1,11,-2,6,5,6,9,8,11,14,6,Stop
2,11,-3,6,5,6,9,8,11,14,6,East
3,11,-4,6,5,6,9,8,11,14,6,East
4,11,-5,6,5,6,9,8,11,14,6,East
5,11,-6,6,5,6,9,8,11,14,6,East
6,11,-7,6,5,6,9,8,11,14,6,East
7,11,-8,6,5,6,9,8,11,14,6,East
8,11,191,6,5,6,9,5,1,14,6,East
7,11,190,6,5,6,9,5,1,14,6,West
6,11,189,6,5,6,9,5,1,14,6,West
6,10,188,6,5,6,9,5,1,14,6,South
6,9,387,6,5,3,1,5,1,14,6,South
6,8,386,6,5,3,1,5,1,14,6,South
7,8,385,6,5,3,1,5,1,14,6,East
8,8,384,6,5,3,1,5,1,14,6,East
9,8,383,6,5,3,1,5,1,14,6,East
10,8,382,6,5,3,1,5,1,14,6,East
10,7,381,6,5,3,1,5,1,14,6,South
10,6,480,6,5,3,1,5,1,14,6,South
10,5,479,6,5,3,1,5,1,14,6,South
9,5,478,6,5,3,1,5,1,14,6,West
8,5,477,6,5,3,1,5,1,14,6,West
7,5,476,6,5,3,1,5,1,14,6,West
6,5,675,1,1,3,1,5,1,14,6,West
7,5,674,1,1,3,1,5,1,14,6,East
8,5,673,1,1,3,1,5,1,14,6,East
9,5,672,1,1,3,1,5,1,14,6,East
10,5,671,1,1,3,1,5,1,14,6,East
11,5,670,1,1,3,1,5,1,14,6,East
12,5,669,1,1,3,1,5,1,14,6,East
13,5,668,1,1,3,1,5,1,14,6,East
