@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-7,29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
11,12,547,-1,-1,-1,2,1,1,3,1,5,1,13,12,False,False,True,True,True,False,False,False,True,East
1,18,0,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,18,-1,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,18,-2,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,18,-3,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,18,-4,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,18,-5,13,25,28,29,5,9,11,3,17,6,25,13,False,True,True,False,True,True,True,True,True,Stop
1,17,-6,12,24,27,28,5,9,11,3,17,6,25,13,True,True,False,False,True,True,True,True,True,South
1,16,-7,11,23,26,27,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
1,15,-8,10,22,25,26,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
2,15,-9,9,21,24,25,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
3,15,-10,8,20,23,24,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
4,15,-11,7,19,22,23,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
5,15,-12,6,18,21,22,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
6,15,-13,7,17,20,21,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
7,15,-14,8,16,19,20,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
8,15,-15,9,15,18,19,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,East
8,14,-16,8,14,17,18,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,South
8,13,-17,7,13,16,17,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,12,-18,6,12,15,18,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,South
8,11,-19,5,11,14,19,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,10,-20,4,10,13,20,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,9,-21,3,9,12,21,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,8,-22,4,8,11,22,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,7,-23,5,7,10,23,5,9,11,3,17,6,25,13,True,True,True,False,True,True,True,True,True,South
8,6,-24,6,6,9,24,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,South
7,6,-25,5,7,10,25,5,9,11,3,17,6,25,13,False,False,True,True,True,True,True,True,True,West
6,6,-26,4,8,11,26,5,9,11,3,17,6,25,13,True,False,True,True,True,True,True,True,True,West
5,6,-27,3,9,12,27,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,West
5,7,-28,2,10,13,26,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,North
5,8,-29,1,11,14,25,5,9,11,3,17,6,25,13,True,True,True,True,True,True,True,True,True,North
5,9,170,-1,12,15,24,1,1,11,3,17,6,25,13,True,True,True,True,True,False,True,True,True,North
5,8,169,-1,11,14,25,1,1,11,3,17,6,25,13,True,True,True,True,True,False,True,True,True,South
5,7,168,-1,10,13,26,1,1,11,3,17,6,25,13,True,True,True,True,True,False,True,True,True,South
5,6,167,-1,9,12,27,1,1,11,3,17,6,25,13,True,True,True,True,True,False,True,True,True,South
5,5,166,-1,8,13,28,1,1,11,3,17,6,25,13,True,True,False,True,True,False,True,True,True,South
5,4,165,-1,7,14,29,1,1,11,3,17,6,25,13,True,True,False,True,True,False,True,True,True,South
5,3,164,-1,6,15,30,1,1,11,3,17,6,25,13,True,False,True,True,True,False,True,True,True,South
6,3,163,-1,5,14,29,1,1,11,3,17,6,25,13,False,False,True,True,True,False,True,True,True,East
7,3,162,-1,4,13,28,1,1,11,3,17,6,25,13,False,False,True,True,True,False,True,True,True,East
8,3,161,-1,3,12,27,1,1,11,3,17,6,25,13,True,False,True,True,True,False,True,True,True,East
9,3,160,-1,2,11,26,1,1,11,3,17,6,25,13,True,False,True,True,True,False,True,True,True,East
10,3,159,-1,1,10,25,1,1,11,3,17,6,25,13,True,False,True,True,True,False,True,True,True,East
11,3,358,-1,-1,9,24,1,1,3,1,17,6,25,13,True,False,False,True,True,False,False,True,True,East
11,4,357,-1,-1,8,23,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,5,356,-1,-1,7,22,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,6,355,-1,-1,6,21,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,7,354,-1,-1,7,20,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,8,353,-1,-1,8,19,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,9,352,-1,-1,9,18,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,10,351,-1,-1,10,17,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,11,350,-1,-1,11,16,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,North
11,12,349,-1,-1,12,15,1,1,3,1,17,6,25,13,False,True,True,True,True,False,False,True,True,North
12,12,348,-1,-1,11,14,1,1,3,1,17,6,25,13,False,False,True,True,True,False,False,True,True,East
13,12,347,-1,-1,10,13,1,1,3,1,17,6,25,13,False,True,True,True,True,False,False,True,True,East
14,12,346,-1,-1,9,12,1,1,3,1,17,6,25,13,True,True,True,True,True,False,False,True,True,East
14,11,345,-1,-1,8,13,1,1,3,1,17,6,25,13,True,True,True,True,True,False,False,True,True,South
14,10,344,-1,-1,7,14,1,1,3,1,17,6,25,13,True,True,True,True,True,False,False,True,True,South
14,9,343,-1,-1,6,15,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,South
14,8,342,-1,-1,5,16,1,1,3,1,17,6,25,13,True,True,True,True,True,False,False,True,True,South
14,7,341,-1,-1,4,17,1,1,3,1,17,6,25,13,True,True,False,True,True,False,False,True,True,South
14,6,340,-1,-1,3,18,1,1,3,1,17,6,25,13,True,True,True,True,True,False,False,True,True,South
15,6,339,-1,-1,2,17,1,1,3,1,17,6,25,13,False,False,True,True,True,False,False,True,True,East
16,6,338,-1,-1,1,16,1,1,3,1,17,6,25,13,False,False,True,True,True,False,False,True,True,East
17,6,537,-1,-1,-1,15,1,1,3,1,5,1,25,13,False,True,True,True,True,False,False,False,True,East
18,6,536,-1,-1,-1,14,1,1,3,1,5,1,25,13,False,True,True,True,True,False,False,False,True,East
19,6,535,-1,-1,-1,13,1,1,3,1,5,1,25,13,False,True,True,True,True,False,False,False,True,East
20,6,534,-1,-1,-1,12,1,1,3,1,5,1,25,13,False,True,True,True,True,False,False,False,True,East
21,6,533,-1,-1,-1,11,1,1,3,1,5,1,25,13,False,False,True,True,True,False,False,False,True,East
22,6,532,-1,-1,-1,10,1,1,3,1,5,1,25,13,False,False,True,True,True,False,False,False,True,East
23,6,531,-1,-1,-1,9,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,East
23,7,530,-1,-1,-1,8,1,1,3,1,5,1,25,13,True,True,True,False,True,False,False,False,True,North
23,8,529,-1,-1,-1,7,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,North
23,9,528,-1,-1,-1,6,1,1,3,1,5,1,25,13,True,True,True,False,True,False,False,False,True,North
23,10,527,-1,-1,-1,5,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,North
22,10,526,-1,-1,-1,6,1,1,3,1,5,1,25,13,True,False,True,True,True,False,False,False,True,West
21,10,525,-1,-1,-1,7,1,1,3,1,5,1,25,13,False,False,True,True,True,False,False,False,True,West
20,10,524,-1,-1,-1,8,1,1,3,1,5,1,25,13,True,False,True,True,True,False,False,False,True,West
20,11,523,-1,-1,-1,7,1,1,3,1,5,1,25,13,True,True,False,True,True,False,False,False,True,North
20,12,522,-1,-1,-1,6,1,1,3,1,5,1,25,13,True,True,False,True,True,False,False,False,True,North
20,13,521,-1,-1,-1,5,1,1,3,1,5,1,25,13,True,True,False,True,True,False,False,False,True,North
20,14,520,-1,-1,-1,6,1,1,3,1,5,1,25,13,True,True,False,True,True,False,False,False,True,North
20,15,519,-1,-1,-1,7,1,1,3,1,5,1,25,13,True,True,True,False,True,False,False,False,True,North
21,15,518,-1,-1,-1,6,1,1,3,1,5,1,25,13,True,False,True,True,True,False,False,False,True,East
22,15,517,-1,-1,-1,5,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,East
23,15,516,-1,-1,-1,4,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,East
24,15,515,-1,-1,-1,3,1,1,3,1,5,1,25,13,True,True,True,True,True,False,False,False,True,East
24,14,514,-1,-1,-1,2,1,1,3,1,5,1,25,13,True,False,True,True,True,False,False,False,True,South
