@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R1-7,12-19,29'

@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
7,19,22,25,True,True,True,False,True,True,True,True,True,South
6,18,21,26,True,True,False,False,True,True,True,True,True,South
5,17,20,27,True,True,False,False,True,True,True,True,True,South
4,16,19,28,True,True,False,False,True,True,True,True,True,South
5,15,18,29,True,True,False,False,True,True,True,True,True,South
6,14,17,30,True,True,False,False,True,True,True,True,True,South
7,13,16,31,True,True,True,False,True,True,True,True,True,South
6,12,15,30,False,True,True,True,True,True,True,True,True,East
5,11,14,29,True,True,True,True,True,True,True,True,True,East
4,10,13,28,True,True,True,True,True,True,True,True,True,East
3,9,12,27,True,True,True,True,True,True,True,True,True,East
2,10,13,26,True,True,True,True,True,True,True,True,True,North
1,11,14,25,True,True,True,True,True,True,True,True,True,North
-1,12,15,24,True,True,True,True,True,False,True,True,True,North
-1,11,14,23,True,True,False,True,True,False,True,True,True,East
-1,10,13,24,True,True,False,True,True,False,True,True,True,South
-1,9,12,25,True,True,False,True,True,False,True,True,True,South
-1,8,11,26,True,False,True,True,True,False,True,True,True,South
-1,7,10,25,False,False,True,True,True,False,True,True,True,East
-1,6,9,24,True,True,True,True,True,False,True,True,True,East
-1,5,8,23,True,True,True,True,True,False,True,True,True,East
-1,4,7,22,True,True,True,True,True,False,True,True,True,East
-1,3,6,21,True,True,False,True,True,False,True,True,True,East
-1,4,7,20,True,True,False,True,True,False,True,True,True,North
-1,5,8,19,True,True,False,True,True,False,True,True,True,North
-1,6,9,18,True,True,False,True,True,False,True,True,True,North
-1,7,10,17,True,True,False,True,True,False,True,True,True,North
-1,8,11,16,True,True,False,True,True,False,True,True,True,North
-1,9,12,15,False,True,True,True,True,False,True,True,True,North
-1,10,11,14,False,False,True,True,True,False,True,True,True,East
-1,11,10,13,False,True,True,True,True,False,True,True,True,East
-1,12,9,12,True,True,True,True,True,False,True,True,True,East
-1,11,8,13,True,True,True,True,True,False,True,True,True,South
-1,10,7,14,True,True,True,True,True,False,True,True,True,South
-1,9,6,15,True,True,False,True,True,False,True,True,True,South
-1,8,5,16,True,True,True,True,True,False,True,True,True,South
-1,7,4,17,True,True,False,True,True,False,True,True,True,South
-1,6,3,18,True,True,True,True,True,False,True,True,True,South
-1,7,2,17,False,False,True,True,True,False,True,True,True,East
-1,8,1,16,False,False,True,True,True,False,True,True,True,East
-1,9,-1,15,False,True,True,True,True,False,True,False,True,East
-1,8,-1,16,False,False,True,True,True,False,True,False,True,West
-1,7,-1,17,False,False,True,True,True,False,True,False,True,West
-1,6,-1,18,True,True,True,True,True,False,True,False,True,West
-1,7,-1,17,True,True,False,True,True,False,True,False,True,North
-1,8,-1,16,True,True,True,True,True,False,True,False,True,North
-1,9,-1,15,True,True,False,True,True,False,True,False,True,North
-1,10,-1,14,True,True,True,True,True,False,True,False,True,North
-1,11,-1,13,True,False,True,True,True,False,True,False,True,East
-1,12,-1,12,True,False,True,True,True,False,True,False,True,East
-1,13,-1,11,True,False,True,True,True,False,True,False,True,East
-1,14,-1,10,True,False,True,True,True,False,True,False,True,East
-1,15,-1,9,True,False,True,True,True,False,True,False,True,East
-1,16,-1,8,True,False,True,True,True,False,True,False,True,East
-1,17,-1,7,True,True,False,True,True,False,True,False,True,North
-1,18,-1,6,True,True,False,True,True,False,True,False,True,North
-1,19,-1,5,True,True,False,True,True,False,True,False,True,North
-1,20,-1,6,True,True,False,True,True,False,True,False,True,North
-1,21,-1,7,True,True,True,False,True,False,True,False,True,North
-1,22,-1,6,True,False,True,True,True,False,True,False,True,East
-1,23,-1,5,True,True,True,True,True,False,True,False,True,East
-1,24,-1,4,True,True,True,True,True,False,True,False,True,East
-1,25,-1,3,True,True,True,True,True,False,True,False,True,East
-1,26,-1,2,True,True,False,True,True,False,True,False,True,East
-1,25,-1,1,True,True,False,True,True,False,True,False,True,South
-1,24,-1,-1,True,False,False,False,True,False,True,False,False,South
-1,25,-1,-1,True,True,False,True,True,False,True,False,False,North
-1,24,-1,-1,True,False,True,True,True,False,True,False,False,West
-1,23,-1,-1,True,True,True,True,True,False,True,False,False,West
-1,22,-1,-1,True,True,True,False,True,False,True,False,False,West
-1,23,-1,-1,True,True,True,True,True,False,True,False,False,North
-1,22,-1,-1,True,False,True,True,True,False,True,False,False,West
-1,21,-1,-1,True,True,True,False,True,False,True,False,False,West
-1,20,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,19,-1,-1,False,True,True,True,True,False,True,False,False,West
-1,18,-1,-1,False,True,True,True,True,False,True,False,False,West
-1,17,-1,-1,True,True,True,True,True,False,True,False,False,West
-1,16,-1,-1,True,False,True,True,True,False,True,False,False,West
-1,15,-1,-1,True,False,True,True,True,False,True,False,False,West
-1,14,-1,-1,True,True,True,True,True,False,True,False,False,West
